"Kod";"Nazwa";"Rodzaje dróg";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2020";20060,4;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2021";19604,2;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2022";19416,1;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"autostrady";"2018";25,3;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"autostrady";"2019";25,3;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"autostrady";"2020";28,2;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"autostrady";"2021";28,1;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"autostrady";"2022";28,4;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"inne drogi";"2018";19824,0;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"inne drogi";"2019";19381,5;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"inne drogi";"2020";20032,2;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"inne drogi";"2021";19576,1;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"inne drogi";"2022";19387,7;"km";"";
